Date,Nivel,Rain
01/01/2004,3.9,0
02/01/2004,3.9,0
03/01/2004,3.9,0
04/01/2004,3.9,0
05/01/2004,3.8,0
06/01/2004,3.8,0
07/01/2004,3.8,0
08/01/2004,3.7,0
09/01/2004,3.7,0
10/01/2004,3.7,0
11/01/2004,3.6,0
12/01/2004,3.6,0
13/01/2004,3.6,0
14/01/2004,3.5,0
15/01/2004,3.5,0
16/01/2004,3.4,0
17/01/2004,3.4,0
18/01/2004,3.4,0
19/01/2004,3.4,0
20/01/2004,3.4,0
21/01/2004,3.3,0
22/01/2004,3.3,0
23/01/2004,3.3,0
24/01/2004,3.3,0
25/01/2004,3.2,0
26/01/2004,3.2,0
27/01/2004,3.9,31
28/01/2004,4.9,33
29/01/2004,4.9,0
30/01/2004,4.9,0
31/01/2004,4.8,0
01/02/2004,4.8,0
02/02/2004,4.8,0
03/02/2004,4.7,0
04/02/2004,4.7,0
05/02/2004,4.7,0
06/02/2004,4.6,0
07/02/2004,4.6,0
08/02/2004,4.6,0
09/02/2004,4.5,0
10/02/2004,4.5,0
11/02/2004,4.5,0
12/02/2004,4.4,0
13/02/2004,4.4,0
14/02/2004,4.4,0
15/02/2004,4.3,0
16/02/2004,4.3,0
17/02/2004,4.2,0
18/02/2004,4.3,0
19/02/2004,4.5,0
20/02/2004,4.8,0
21/02/2004,4.8,0
22/02/2004,4.8,0
23/02/2004,4.7,0
24/02/2004,4.7,0
25/02/2004,4.7,0
26/02/2004,4.6,0
27/02/2004,4.6,0
28/02/2004,4.5,0
29/02/2004,4.5,0
01/03/2004,4.4,0
02/03/2004,4.4,0
03/03/2004,4.3,0
04/03/2004,4.3,0
05/03/2004,4.2,0
06/03/2004,4.2,0
07/03/2004,4.2,0
08/03/2004,4.1,0
09/03/2004,6.96,0
10/03/2004,10.9,0
11/03/2004,14.4,0
12/03/2004,15.4,0
13/03/2004,16.2,0
14/03/2004,18.4,0
15/03/2004,21,0
16/03/2004,23.4,0
17/03/2004,25.2,0
18/03/2004,25.7,0
19/03/2004,24,0
20/03/2004,20.6,0
21/03/2004,17.1,0
22/03/2004,12.7,0
23/03/2004,10,0
24/03/2004,9.2,0
25/03/2004,9.5,0
26/03/2004,9.6,0
27/03/2004,9.6,0
28/03/2004,9.1,0
29/03/2004,8.5,0
30/03/2004,7.9,0
31/03/2004,7.9,0
01/04/2004,7.9,0
02/04/2004,8.1,0
03/04/2004,8.3,0
04/04/2004,7.5,0
05/04/2004,6.5,0
06/04/2004,5.6,0
07/04/2004,5.4,20
08/04/2004,5.8,0
09/04/2004,6.8,0
10/04/2004,7.7,0
11/04/2004,7.9,0
12/04/2004,7.1,0
13/04/2004,6.2,0
14/04/2004,5.8,0
15/04/2004,5.7,0
16/04/2004,5.4,0
17/04/2004,5,0
18/04/2004,4.8,0
19/04/2004,4.7,1
20/04/2004,4.6,0
21/04/2004,4.5,0
22/04/2004,4.4,0
23/04/2004,4.3,0
24/04/2004,4.2,0
25/04/2004,4.1,0
26/04/2004,4,0
27/04/2004,3.9,0
28/04/2004,3.8,0
29/04/2004,3.7,0
30/04/2004,3.6,0
01/05/2004,3.5,0
02/05/2004,3.4,0
03/05/2004,3.4,21
04/05/2004,5.2,91
05/05/2004,6.9,30
06/05/2004,8.7,15
07/05/2004,8.1,9
08/05/2004,6.5,0
09/05/2004,5.4,4
10/05/2004,4.5,0
11/05/2004,4.3,0
12/05/2004,4.3,0
13/05/2004,4.2,0
14/05/2004,4.1,0
15/05/2004,4,0
16/05/2004,3.9,0
17/05/2004,6.3,45
18/05/2004,7.3,0
19/05/2004,7.7,0
20/05/2004,7.7,0
21/05/2004,7.7,0
22/05/2004,7.6,0
23/05/2004,7.6,2
24/05/2004,7.8,3
25/05/2004,8.1,0
26/05/2004,8.3,0
27/05/2004,6.6,0
28/05/2004,4.6,0
29/05/2004,4.1,0
30/05/2004,3.7,3
31/05/2004,3.7,0
01/06/2004,4.5,5
02/06/2004,4.8,9
03/06/2004,4.9,4
04/06/2004,4.9,0
05/06/2004,4.9,2
06/06/2004,4.9,0
07/06/2004,4.8,0
08/06/2004,5.1,5
09/06/2004,6,19
10/06/2004,6.3,2
11/06/2004,6.9,6
12/06/2004,7.1,0
13/06/2004,7.1,0
14/06/2004,7.1,0
15/06/2004,7,0
16/06/2004,6.9,0
17/06/2004,6.8,0
18/06/2004,6.7,0
19/06/2004,6.6,0
20/06/2004,6.5,0
21/06/2004,6.4,0
22/06/2004,6.3,0
23/06/2004,6.2,0
24/06/2004,6,0
25/06/2004,5.9,0
26/06/2004,5.8,0
27/06/2004,5.7,0
28/06/2004,5.6,0
29/06/2004,5.5,1
30/06/2004,5.5,0
01/07/2004,5.4,0
02/07/2004,5.3,0
03/07/2004,5.3,0
04/07/2004,5.6,4
05/07/2004,5.5,0
06/07/2004,5.7,3
07/07/2004,5.7,0
08/07/2004,5.6,0
09/07/2004,5.6,0
10/07/2004,5.6,0
11/07/2004,5.6,2
12/07/2004,5.5,0
13/07/2004,5.5,0
14/07/2004,5.5,0
15/07/2004,5.4,0
16/07/2004,5.4,0
17/07/2004,5.4,0
18/07/2004,5.3,0
19/07/2004,5.3,0
20/07/2004,5.2,0
21/07/2004,5.1,0
22/07/2004,4.9,0
23/07/2004,4.6,0
24/07/2004,4.3,0
25/07/2004,4,0
26/07/2004,4.1,16
27/07/2004,3.9,0
28/07/2004,3.6,0
29/07/2004,3.6,7
30/07/2004,3.6,10
31/07/2004,3.5,0
01/08/2004,3.5,1
02/08/2004,3.4,0
03/08/2004,3.3,0
04/08/2004,3.3,1
05/08/2004,3.2,0
06/08/2004,3.2,9
07/08/2004,3.1,0
08/08/2004,3,0
09/08/2004,3,5
10/08/2004,2.9,0
11/08/2004,2.8,0
12/08/2004,2.7,0
13/08/2004,2.7,2
14/08/2004,2.7,3
15/08/2004,2.6,0
16/08/2004,2.6,4
17/08/2004,2.5,0
18/08/2004,2.4,0
19/08/2004,2.4,1
20/08/2004,2.3,0
21/08/2004,2.2,0
22/08/2004,2.1,0
23/08/2004,2,0
24/08/2004,1.9,0
25/08/2004,1.8,0
26/08/2004,1.7,0
27/08/2004,1.6,0
28/08/2004,1.5,0
29/08/2004,1.4,0
30/08/2004,1.3,0
31/08/2004,1.3,2
01/09/2004,1.2,0
02/09/2004,1.1,0
03/09/2004,1,0
04/09/2004,0.9,0
05/09/2004,0.9,27
06/09/2004,1.7,21
07/09/2004,1.7,0
08/09/2004,1.9,10
09/09/2004,1.9,0
10/09/2004,2.5,39
11/09/2004,2.5,0
12/09/2004,2.4,0
13/09/2004,2.3,0
14/09/2004,2.15,0
15/09/2004,2.1,0
16/09/2004,2,0
17/09/2004,2,2
18/09/2004,1.9,0
19/09/2004,1.8,0
20/09/2004,3.2,24
21/09/2004,4.5,29
22/09/2004,5.4,0
23/09/2004,6.5,2
24/09/2004,7.7,15
25/09/2004,8.9,2
26/09/2004,9.8,3
27/09/2004,10.7,0
28/09/2004,11.7,6
29/09/2004,12.2,0
30/09/2004,13.7,22
01/10/2004,14.2,0
02/10/2004,15.3,0
03/10/2004,17.1,9
04/10/2004,17.7,4
05/10/2004,18.3,0
06/10/2004,18.6,0
07/10/2004,18.6,0
08/10/2004,18.6,0
09/10/2004,18.5,0
10/10/2004,18.4,0
11/10/2004,18.9,28
12/10/2004,19.2,0
13/10/2004,19.2,0
14/10/2004,19.2,0
15/10/2004,19.1,0
16/10/2004,19,0
17/10/2004,18.9,0
18/10/2004,19.9,31
19/10/2004,20.3,13
20/10/2004,20.5,1
21/10/2004,21,0
22/10/2004,22.2,3
23/10/2004,22.9,5
24/10/2004,23.4,10
25/10/2004,23.4,0
26/10/2004,24.8,4
27/10/2004,27.7,17
28/10/2004,29.8,5
29/10/2004,33.1,18
30/10/2004,37.4,41
31/10/2004,45,65
01/11/2004,49.6,0
02/11/2004,52,0
03/11/2004,54.4,0
04/11/2004,57,0
05/11/2004,58,0
06/11/2004,63.7,62
07/11/2004,74.5,11
08/11/2004,92.8,17
09/11/2004,109.2,2
10/11/2004,119.7,0
11/11/2004,128.1,0
12/11/2004,131,10
13/11/2004,146.4,34
14/11/2004,173.7,0
15/11/2004,184.8,0
16/11/2004,192.4,0
17/11/2004,196.3,0
18/11/2004,197.1,0
19/11/2004,197.9,0
20/11/2004,198.7,0
21/11/2004,198.7,0
22/11/2004,198.7,0
23/11/2004,198.7,0
24/11/2004,198.7,0
25/11/2004,197.9,0
26/11/2004,198.7,23
27/11/2004,216.6,42
28/11/2004,225.1,7
29/11/2004,247,0
30/11/2004,283.6,0
01/12/2004,324.2,0
02/12/2004,363,0
03/12/2004,401.3,0
04/12/2004,440.3,0
05/12/2004,478.4,0
06/12/2004,516.7,0
07/12/2004,553.8,0
08/12/2004,588.1,0
09/12/2004,616.5,4
10/12/2004,643.9,0
11/12/2004,674.1,0
12/12/2004,706.1,0
13/12/2004,728.9,0
14/12/2004,749.2,0
15/12/2004,773.8,0
16/12/2004,790.2,0
17/12/2004,806.8,0
18/12/2004,812.3,0
19/12/2004,817.8,0
20/12/2004,822,0
21/12/2004,823.4,0
22/12/2004,823.4,0
23/12/2004,823.4,0
24/12/2004,823.4,0
25/12/2004,823.4,0
26/12/2004,823.4,0
27/12/2004,823.4,0
28/12/2004,823.4,0
29/12/2004,820.7,0
30/12/2004,815.1,0
31/12/2004,810.9,0
01/01/2005,805.4,0
02/01/2005,799.9,0
03/01/2005,794.4,0
04/01/2005,790.2,0
05/01/2005,791.6,0
06/01/2005,3231,0
07/01/2005,809.6,0
08/01/2005,822.1,0
09/01/2005,829,0
10/01/2005,836,0
11/01/2005,843,0
12/01/2005,850,0
13/01/2005,855.6,0
14/01/2005,861.2,0
15/01/2005,866.9,0
16/01/2005,872.5,0
17/01/2005,876.8,0
18/01/2005,878.2,0
19/01/2005,875.3,0
20/01/2005,869.7,0
21/01/2005,864.1,0
